Evidence;Property;Source;Genome Name;PATRIC ID;RefSeq Locus Tag;Alt Locus Tag;Source ID;Source Organism;Gene;Product;Function;Classification;PubMed;Subject Coverage;Query Coverage;Identity;E-value
BLASTP;Virulence Factor;VFDB;Legionella pneumophila subsp. pneumophila str. Philadelphia 1;fig|272624.6.peg.1870;lpg1785;VBILegPne29832_1870;VFG2012;Legionella pneumophila Philadelphia 1;flhA;Flagellar biosynthesis protein FlhA;Not required for intracellular growth but enhance the invasion capacity;Motility;;100;100;100;0.0
BLASTP;Virulence Factor;VFDB;Legionella pneumophila subsp. pneumophila str. Philadelphia 1;fig|272624.6.peg.1873;lpg1788;VBILegPne29832_1873;VFG2015;Legionella pneumophila Philadelphia 1;fliQ;Flagellar biosynthesis protein FliQ;Not required for intracellular growth but enhance the invasion capacity;Motility;;100;100;100;7,00E-56
BLASTP;Virulence Factor;VFDB;Legionella pneumophila subsp. pneumophila str. Philadelphia 1;fig|272624.6.peg.1843;lpg1759;VBILegPne29832_1843;VFG2005;Legionella pneumophila Philadelphia 1;fliG;Flagellar motor switch protein FliG;Not required for intracellular growth but enhance the invasion capacity;Motility;;100;100;100;0.0
BLASTP;Virulence Factor;VFDB;Legionella pneumophila subsp. pneumophila str. Philadelphia 1;fig|272624.6.peg.1876;lpg1791;VBILegPne29832_1876;VFG2018;Legionella pneumophila Philadelphia 1;;Flagellar motor switch protein FliN;Not required for intracellular growth but enhance the invasion capacity;Motility;;100;100;100;3,00E-73
BLASTP;Virulence Factor;VFDB;Legionella pneumophila subsp. pneumophila str. Philadelphia 1;fig|272624.6.peg.1867;lpg1782;VBILegPne29832_1867;VFG2010;Legionella pneumophila Philadelphia 1;fliA;RNA polymerase sigma factor for flagellar operon;Not required for intracellular growth but enhance the invasion capacity;Motility;;90;100;99;4,00E-175
BLASTP;Virulence Factor;VFDB;Legionella pneumophila subsp. pneumophila str. Philadelphia 1;fig|272624.6.peg.1844;lpg1760;VBILegPne29832_1844;VFG2006;Legionella pneumophila Philadelphia 1;fliF;Flagellar M-ring protein FliF;Not required for intracellular growth but enhance the invasion capacity;Motility;;100;100;100;0.0
BLASTP;Virulence Factor;VFDB;Legionella pneumophila subsp. pneumophila str. Philadelphia 1;fig|272624.6.peg.1865;lpg1780;VBILegPne29832_1865;VFG2008;Legionella pneumophila Philadelphia 1;motB;Flagellar motor rotation protein MotB;Not required for intracellular growth but enhance the invasion capacity;Motility;;97;100;100;0.0
BLASTP;Virulence Factor;VFDB;Legionella pneumophila subsp. pneumophila str. Philadelphia 1;fig|272624.6.peg.1719;lpg1642;VBILegPne29832_1719;VFG2108;Legionella pneumophila Philadelphia 1;sidB;SdbA;Allows survival and growth in macrophages, prevent phagosome acifidication and lysosome fusion, essential for induction of apoptosis in human macrophages;Secretion,Type IV secretion system;;100;100;100;0.0
BLASTP;Virulence Factor;VFDB;Legionella pneumophila subsp. pneumophila str. Philadelphia 1;fig|272624.6.peg.1874;lpg1789;VBILegPne29832_1874;VFG2016;Legionella pneumophila Philadelphia 1;fliP;Flagellar biosynthesis protein FliP;Not required for intracellular growth but enhance the invasion capacity;Motility;;100;100;100;3,00E-177
BLASTP;Virulence Factor;VFDB;Legionella pneumophila subsp. pneumophila str. Philadelphia 1;fig|272624.6.peg.1840;lpg1756;VBILegPne29832_1840;VFG2003;Legionella pneumophila Philadelphia 1;fliJ;Flagellar protein FliJ;Not required for intracellular growth but enhance the invasion capacity;Motility;;100;100;100;5,00E-107
